Datum_vårdstart;Antal_intensivvårdade
18/09/2021;10
19/09/2021;1
20/09/2021;7
21/09/2021;3
22/09/2021;3
23/09/2021;1
24/09/2021;3
25/09/2021;3
26/09/2021;1
27/09/2021;3
28/09/2021;7
29/09/2021;2
30/09/2021;2
01/10/2021;0
02/10/2021;2
03/10/2021;1
04/10/2021;2
05/10/2021;2
06/10/2021;1
07/10/2021;2
08/10/2021;1
09/10/2021;2
10/10/2021;5
11/10/2021;0
12/10/2021;1
13/10/2021;0
14/10/2021;2
15/10/2021;6
16/10/2021;3
17/10/2021;2
18/10/2021;5
19/10/2021;1
20/10/2021;2
21/10/2021;0
22/10/2021;2
23/10/2021;3
24/10/2021;2
25/10/2021;1
26/10/2021;2
27/10/2021;5
28/10/2021;2
29/10/2021;3
30/10/2021;2
31/10/2021;1
01/11/2021;3
02/11/2021;4
03/11/2021;1
04/11/2021;4
05/11/2021;2
06/11/2021;2
07/11/2021;1
08/11/2021;5
09/11/2021;4
10/11/2021;2
11/11/2021;3
12/11/2021;5
13/11/2021;0
14/11/2021;3
15/11/2021;0
16/11/2021;1
17/11/2021;2
18/11/2021;4
19/11/2021;2
20/11/2021;3
21/11/2021;1
22/11/2021;3
23/11/2021;1
24/11/2021;5
25/11/2021;11
26/11/2021;6
27/11/2021;3
28/11/2021;6
29/11/2021;3
30/11/2021;7
01/12/2021;4
02/12/2021;3
03/12/2021;6
04/12/2021;3
05/12/2021;6
06/12/2021;6
07/12/2021;10
08/12/2021;8
09/12/2021;2
10/12/2021;5
11/12/2021;5
12/12/2021;10
13/12/2021;6
14/12/2021;16
15/12/2021;8
16/12/2021;11
17/12/2021;5
18/12/2021;6
19/12/2021;8
20/12/2021;9
21/12/2021;10
22/12/2021;2
