date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-03-22,118,1986,131.857,60,11,7.571,195.469,11.614,12.978,5.905,1.083,0.745,1.64,62,6.102,383,37.696,0,0,0,0,0,0,0,0,0,0,47.22,-1112.1,-4.76,4.9,-109.4569485,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,182,2168,146,81,21,10.429,213.382,17.913,14.37,7.972,2.067,1.026,1.63,94,9.252,460,45.275,0,0,0,0,0,0,0,0,0,0,47.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,230,2398,161.857,103,22,12.714,236.02,22.637,15.931,10.138,2.165,1.251,1.62,106,10.433,530,52.165,0,0,0,0,0,0,0,0,0,0,47.22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,314,2712,186,134,31,16.143,266.925,30.905,18.307,13.189,3.051,1.589,1.62,132,12.992,637,62.696,0,0,0,0,0,0,0,0,0,0,50.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,286,2998,206.429,166,32,19.429,295.074,28.149,20.317,16.338,3.15,1.912,1.61,161,15.846,750,73.818,0,0,0,0,0,0,0,0,0,0,50.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,365,3363,232.857,201,35,23.286,330.999,35.925,22.919,19.783,3.445,2.292,1.61,187,18.405,879,86.514,0,0,0,0,0,0,0,0,0,0,50.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,300,3663,256.429,239,38,27.143,360.526,29.527,25.239,23.523,3.74,2.671,1.59,199,19.586,947,93.207,0,0,0,0,0,0,0,0,0,0,50.93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,280,3943,279.571,284,45,32,388.084,27.559,27.516,27.952,4.429,3.15,1.58,221,21.752,1044,102.754,0,0,0,0,0,0,0,0,0,0,59.26,-870,-3.45,13.12,-85.62858121,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,416,4359,313,332,48,35.857,429.029,40.944,30.807,32.677,4.724,3.529,1.55,262,25.787,1162,114.368,0,0,0,0,0,0,0,0,0,0,59.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,475,4834,348,385,53,40.286,475.78,46.751,34.251,37.893,5.216,3.965,1.52,298,29.33,1295,127.459,0,0,0,0,0,0,0,0,0,0,59.26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
