date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-07-06,251,70932,544.714,5420,0,20,0.69,127,12.5,677,11869,94392,11800,0.0462,21.7,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,70932,5420,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-07,278,71210,469.429,5447,27,16.286,0.68,119,11.712,656,11869,106261,11812,0.0397,25.2,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,71210,5447,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-08,537,71747,448.429,5482,35,16,0.67,108,10.63,628,11869,118130,11823,0.0379,26.4,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,71747,5482,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-09,335,72082,397.857,5500,18,12.714,0.67,101,9.941,563,11869,129999,11835,0.0336,29.7,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,72082,5500,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-10,377,72459,351.857,5526,26,15.143,0.67,97,9.547,523,11869,141868,11846,0.0297,33.7,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,72459,5526,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-11,314,72773,343.857,5526,0,15.143,0.68,94,9.252,509,11869,153737,11858,0.029,34.5,,,,,,59.26,4925.2,10.21,1.03,484.7561933,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,72773,5526,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-12,106,72879,314,5526,0,15.143,0.68,94,9.252,507,11869,165606,11869,0.0265,37.8,,,,,,59.26,4962,9.96,2.31,488.3781838,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,72879,5526,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-13,170,73049,302.429,5526,0,15.143,0.68,91,8.957,474,9933,175539,11592,0.0261,38.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,73049,5526,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-14,315,73364,307.714,5545,19,14,0.69,86,8.464,464,9933,185472,11316,0.0272,36.8,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,73364,5545,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-15,299,73663,273.714,5572,27,12.857,0.69,79,7.775,436,9933,195405,11039,0.0248,40.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,73663,5572,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-16,273,73936,264.857,5593,21,13.286,0.7,67,6.594,366,9933,205338,10763,0.0246,40.6,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,73936,5593,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
