date,cases,total cases,death,total death,intensive care,hosp_patients,airplane passengers monthly average,min temp,max temp,school closures,retail and recreation,grocery and pharmacy,residential,transit stations,parks,workplaces,total doses,total new doses,total vaccinated,cancel public events,stringency index,stay home requirements,face coverings,public information campaigns,close public transport,international travel control,testing policy,Workplace closing,Restrictions on gatherings,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Contact tracing,Vaccination policy,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
2020-12-25,0,396048,0,8279,31,2712,5432,-0.9,0.1,2,-28.429,-7,13.857,-50.143,14.714,-48.714,0,0,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,0,59.38,58.93,62.5
2020-12-26,0,396048,0,8279,34,2716,5432,-2.7,0.4,2,-31.429,-10.571,14,-52,13.714,-50.714,0,0,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,0,59.38,58.93,62.5
2020-12-27,0,396048,0,8279,32,2734,5432,4.4,5.2,2,-32.857,-12.857,14.143,-53.286,9.143,-51.571,309,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,2,61.88,61.79,62.5
2020-12-28,0,396048,0,8279,40,2922,5432,3.4,4.5,2,-34.286,-14.571,14.857,-54.429,8.429,-54.143,618,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,2,61.88,61.79,62.5
2020-12-29,32485,428533,0,8279,42,2898,5432,4.3,5.6,2,-35.714,-16.286,15.571,-55.429,10.429,-56.286,927,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,2,61.88,61.79,62.5
2020-12-30,8846,437379,448,8727,30,2906,5432,1.1,2.7,2,-37.286,-17.429,16.143,-56.286,8.143,-56.857,1,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,2,61.88,61.79,62.5
2020-12-31,0,437379,0,8727,35,2906,5432,3.3,4.4,2,-34.429,-12.571,16.286,-55.571,13.857,-56.429,2,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,1,1,2,61.88,61.79,62.5
2021-01-01,0,437379,0,8727,35,2901,3269,2,4.1,2,-34.857,-13.429,16.571,-55.571,11.143,-56.429,2,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-02,0,437379,0,8727,18,2905,3269,0.7,2.2,2,-33.714,-12,16.571,-55.286,12,-55.286,2,309,0,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-03,0,437379,0,8727,34,2949,3269,-1.2,0.4,2,-33.857,-11.571,16.429,-54.571,19.571,-54.571,2,311,2.474,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-04,0,437379,0,8727,18,3004,3269,-0.1,0.8,2,-34.857,-11.857,16.143,-54.429,20.286,-53,4,2.012,4.486,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-05,32369,469748,238,8965,36,2996,3269,-1.7,0.2,2,-36.143,-12.857,15.857,-54.286,21.143,-51.714,6,2.012,6.498,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-06,0,469748,0,8965,27,2962,3269,-2.9,-0.3,2,-41,-19,16.857,-56.143,22.714,-54,9,2.012,8.51,2,69.44,1,0,2,1,3,2,2,4,1,3,2,0,1,2,58.75,61.79,37.5
2021-01-07,12536,482284,297,9262,23,2908,3269,-0.2,0.5,2,-37.857,-18.714,16,-54.857,14.714,-48.714,11,2.012,10.522,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-08,7187,489471,171,9433,30,2852,3269,0.5,1.2,2,-32.286,-12.571,14.571,-52.429,11.714,-42.857,13,2.012,12.534,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-09,0,489471,0,9433,24,2845,3269,-1.7,0,2,-32.143,-12.143,14.571,-52.143,13,-42.286,15,2.012,14.546,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-10,0,489471,0,9433,27,2858,3269,-1.7,0.6,2,-32.857,-12.429,14.714,-52.429,9.429,-42.286,17,2.013,16.559,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-11,0,489471,0,9433,24,2828,3269,-3.1,1.8,2,-34.714,-14,14.286,-52,5.571,-39.714,33,16.641,33.12,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-12,17395,506866,0,9433,33,2759,3269,-3.5,0.3,2,-36,-15.429,13.857,-51.143,4.857,-36.857,50,16.641,49.681,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-13,5337,512203,401,9834,18,2739,3269,-2.8,0.5,2,-34.286,-14.143,12.143,-48.714,0.286,-30.286,66,16.641,66.242,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-14,6580,518783,351,10185,26,2634,3269,-6.5,-2.5,2,-34.714,-14.571,11.714,-48.286,-0.714,-28.571,83,16.641,82.803,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-15,4703,523486,138,10323,15,2577,3269,-10,-5.8,2,-34.571,-14.571,11.143,-47.714,-1,-27,100,16.641,99.364,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-16,0,523486,0,10323,20,2570,3269,-3.7,-1,2,-34.571,-14.571,11.143,-47.571,-0.429,-27,116,16.641,115.925,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-17,0,523486,0,10323,17,2532,3269,-2.6,-1.3,2,-34.286,-14.429,11,-47.571,1.286,-27.143,133,16.641,132.488,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-18,0,523486,0,10323,27,2512,3269,-1.9,-0.7,2,-34,-14.429,10.857,-47.429,2.857,-27,150,16.681,147.525,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
2021-01-19,9779,533265,0,10323,30,2398,3269,-0.9,1.6,2,-33.857,-14.571,10.714,-47.714,0.571,-26.857,166,16.681,162.562,2,69.44,1,1,2,1,3,2,2,4,1,3,2,0,1,2,60.31,63.57,37.5
